date,title,pdf_page,pdf_psalm_ref,pdf_acclamation_ref,status,source
2026-07-19,XVI Domingo del Tiempo Ordinario,170,"Salmo 85, 5–6. 9–10. 15–16a","Cfr Mateo 11, 25",pdf_manual_reviewed,ocp_pdf_manual
2026-07-26,XVII Domingo del Tiempo Ordinario,172,"Salmo 118, 57 y 72. 76–77. 127–128. 129–130","Cfr Mateo 11, 25",pdf_manual_reviewed,ocp_pdf_manual
2026-08-02,XVIII Domingo del Tiempo Ordinario,174,"Salmo 144, 8–9. 15–16. 17–18","Mateo 4, 4b",pdf_manual_reviewed,ocp_pdf_manual
2026-08-09,XIX Domingo del Tiempo Ordinario,176,"Salmo 84, 9ab–10. 11–12. 13–14","Salmo 129, 5",pdf_manual_reviewed,ocp_pdf_manual
2026-08-14,Asunción de la Bienaventurada Virgen María: Misa Vespertina de la Vigilia,180,"Salmo 131, 6–7. 9–10. 13–14","Lucas 11, 28",pdf_manual_reviewed,ocp_pdf_manual
2026-08-15,Asunción de la Bienaventurada Virgen María: Misa del Día,182,"Salmo 44, 10bc. 11–12ab. 16",,pdf_manual_reviewed,ocp_pdf_manual
2026-08-16,XX Domingo del Tiempo Ordinario,184,"Salmo 66, 2–3. 5. 6 y 8","Mateo 4, 23",pdf_manual_reviewed,ocp_pdf_manual
2026-08-23,XXI Domingo del Tiempo Ordinario,186,"Salmo 137, 1–2a. 2bc–3. 6 y 8bc","Mateo 16, 18",pdf_manual_reviewed,ocp_pdf_manual
2026-08-30,XXII Domingo del Tiempo Ordinario,188,"Salmo 62, 2. 3–4. 5–6. 8–9","Cfr Efesios 1, 17–18",pdf_manual_reviewed,ocp_pdf_manual
2026-09-06,XXIII Domingo del Tiempo Ordinario,190,"Salmo 94, 1–2. 6–7. 8–9","2 Corintios 5, 19",pdf_manual_reviewed,ocp_pdf_manual
2026-09-13,XXIV Domingo del Tiempo Ordinario,192,"Salmo 102, 1–2. 3–4. 9–10. 11–12","Juan 13, 34",pdf_manual_reviewed,ocp_pdf_manual
2026-09-14,Exaltación de la Santa Cruz,194,"Salmo 77, 1–2. 34–35. 36–37. 38",,pdf_manual_reviewed,ocp_pdf_manual
2026-09-20,XXV Domingo del Tiempo Ordinario,200,"Salmo 144, 2–3. 8–9. 17–18","Cfr Hechos de los Apóstoles 16, 14b",pdf_manual_reviewed,ocp_pdf_manual
2026-09-27,XXVI Domingo del Tiempo Ordinario,202,"Salmo 24, 4bc–5. 6–7. 8–9","Juan 10, 27",pdf_manual_reviewed,ocp_pdf_manual
2026-10-04,XXVII Domingo del Tiempo Ordinario,204,"Salmo 79, 9 y 12. 13–14. 15–16. 19–20","Juan 15, 16",pdf_manual_reviewed,ocp_pdf_manual
2026-10-11,XXVIII Domingo del Tiempo Ordinario,206,"Salmo 22, 1–3a. 3b–4. 5. 6","Cfr Efesios 1, 17–18",pdf_manual_reviewed,ocp_pdf_manual
2026-10-18,XXIX Domingo del Tiempo Ordinario,208,"Salmo 95, 1 y 3. 4–5. 7–8. 9–10a y c","Filipenses 2, 15–16",pdf_manual_reviewed,ocp_pdf_manual
2026-10-25,XXX Domingo del Tiempo Ordinario,210,"Salmo 17, 2–3a. 3bc–4. 47 y 51ab","Juan 14, 23",pdf_manual_reviewed,ocp_pdf_manual
2026-11-01,Todos los Santos,212,"Salmo 23/Psalm 24, 1bc–2. 3–4ab. 5–6","Mateo 11, 28",pdf_manual_reviewed,ocp_pdf_manual
2026-11-02,Conmemoración de Todos los Fieles Difuntos,214,"Salmo 22, 1–3a. 3b–4. 5. 6","Mateo 25, 34",pdf_manual_reviewed,ocp_pdf_manual
2026-11-08,XXXII Domingo del Tiempo Ordinario,218,"Salmo 62, 2. 3–4. 5–6. 7–8","Mateo 24, 42a. 44",pdf_manual_reviewed,ocp_pdf_manual
2026-11-15,XXXIII Domingo del Tiempo Ordinario,220,"Salmo 127, 1–2. 3. 4–5","Juan 15, 4. 5b",pdf_manual_reviewed,ocp_pdf_manual
2026-11-22,"Nuestro Señor Jesucristo, Rey del Universo",222,"Salmo 22, 1–2a. 2b–3. 5–6","Marcos 11, 10",pdf_manual_reviewed,ocp_pdf_manual
2026-11-26,Día de Acción de Gracias,224,"Salmo 112, 1–2. 3–4. 5–6. 7–8","1 Tesalonicenses 5, 18",pdf_manual_reviewed,ocp_pdf_manual
